username,most_active_day,most_active_hour,freq_of_most_hashtag,location,verified,followers_count,friends_count,favourites_count,statuses_count,month_created,year_created,is_buzzer
Mang_Aldo,6,18,8,0,0,347,656,10323,27371,4,2015,0
mangostalkyrice,4,0,7,1,0,404,1079,271,19650,8,2009,0
MardaniAliiSera,1,4,16,1,0,26,0,0,882,1,2019,0
MardaniAliSera,1,9,17,1,1,238872,418,2100,9873,3,2010,0
martin_gunawan,1,13,7,1,0,118,136,19,288,6,2010,0
marvel31894664,3,15,13,0,0,513,437,1591,6972,2,2016,0
marzukiuki,6,13,9,1,0,72,837,1208,2708,3,2010,0
Masden10835849,6,15,8,1,0,393,693,29887,11185,6,2018,0
mbah_wenang,7,10,8,1,0,150,1164,5782,13567,11,2009,0
mc_ashar,7,15,32,1,0,184,461,225,2151,10,2013,0
MDarukudni,5,21,28,1,0,526,3035,1116,7515,8,2013,0
Megatop99,4,9,2,1,0,57,564,1859,2998,4,2011,0
MeiliantiTeti,1,15,337,1,0,30,63,1383,143,2,2019,0
Melata_Dijalan,2,9,4,1,0,154,205,916,3213,10,2017,0
melia71kusumawa,3,4,6,1,0,14,71,49,79,12,2013,0
merwinreynold,2,16,27,1,0,1295,2176,31426,52890,6,2010,0
MFAnsyaruddin,6,17,2,1,0,110,534,5177,1945,2,2017,0
mieayamgerobak,1,3,341,1,0,19,114,12,172,11,2013,0
mindar69,7,16,13,1,0,649,2498,12218,8213,10,2009,0
mjenar2,2,12,38,0,0,395,406,22763,18776,3,2017,0
Moch_herianto,5,13,1,1,0,1809,547,16787,19300,7,2013,0
MOCHAMADIWAN5,2,12,13,1,0,101,113,3870,8328,10,2016,0
mochsadikin,6,14,5,1,0,72,112,6670,2850,2,2012,0
MohAliMahmud1,6,3,25,0,0,99,249,8105,4469,1,2019,0
MohammadKhafi11,6,12,2,0,0,155,878,4905,4872,3,2019,0
MohammedrizkyNR,7,7,48,1,0,95,152,421,412,1,2019,0
momybastian,2,20,12,1,0,438,1135,10001,14569,2,2011,0
Monicaangelia29,7,10,5,1,0,9,40,127,170,12,2018,0
Parakang_TL,5,10,54,1,0,2590,1965,48,1853,7,2014,0
KertasGulung,2,13,3,1,0,20,6,9,98,10,2010,0
